parish;token;cog;vot;pal;height;backness;round;stop;stress;.obs
Ajstrup;te1;5178;32;negpal;high;front;negrd;t;negstr;58
Ajstrup;tør2;2788;62.1;negpal;low;front;rd;t;str;59
Ajstrup;px1;531;17.9;negpal;mid;central;negrd;p;negstr;60
Ajstrup;to1;2159;30.6;negpal;mid;back;rd;t;negstr;61
Ajstrup;ka1;1539;42.1;negpal;low;front;negrd;k;negstr;62
Ajstrup;ka2;2384;34.3;negpal;low;front;negrd;k;str;63
Ajstrup;tør2;2696;53.1;negpal;low;front;rd;t;str;64
Ajstrup;tør2;1045;23.1;negpal;low;front;rd;t;str;65
Ajstrup;te2;3547;35.6;negpal;high;front;negrd;t;str;66
Ajstrup;ta2;3272;32.3;negpal;low;front;negrd;t;str;67
Ajstrup;tja2;4262;59.9;pal;low;front;negrd;t;str;68
Ajstrup;ku1;1892;24.3;negpal;high;back;rd;k;negstr;69
Ajstrup;ty1;3408;46.2;negpal;high;front;rd;t;negstr;70
Ajstrup;tu2;3229;42.9;negpal;high;back;rd;t;str;71
Ajstrup;tør1;3101;43.8;negpal;low;front;rd;t;negstr;72
Ajstrup;te1;1508;12.5;negpal;high;front;negrd;t;negstr;73
Ajstrup;på1;811;13.2;negpal;mid;back;rd;p;negstr;74
Ajstrup;tør2;3331;36.5;negpal;low;front;rd;t;str;75
Ajstrup;tjy1;3236;82.7;pal;high;front;rd;t;negstr;76
Ajstrup;på1;537;18.8;negpal;mid;back;rd;p;negstr;77
Ajstrup;på1;515;33.7;negpal;mid;back;rd;p;negstr;78
Ajstrup;ka2;898;11.5;negpal;low;front;negrd;k;str;79
Ajstrup;tør2;2783;42.2;negpal;low;front;rd;t;str;80
Ajstrup;kja1;2822;64.1;pal;low;front;negrd;k;negstr;81
Ajstrup;ka1;1831;43.8;negpal;low;front;negrd;k;negstr;82
Ajstrup;ti1;2235;23.7;negpal;high;front;negrd;t;negstr;83
Ajstrup;ka1;2629;55.8;negpal;low;front;negrd;k;negstr;84
Ajstrup;på1;498;10.4;negpal;mid;back;rd;p;negstr;85
Ajstrup;tør1;3302;20.2;negpal;low;front;rd;t;negstr;86
Ajstrup;kå2;1159;62;negpal;mid;back;rd;k;str;87
Ajstrup;ko2;1923;69.7;negpal;mid;back;rd;k;str;88
Ajstrup;tør1;2926;31.2;negpal;low;front;rd;t;negstr;89
Ajstrup;te2;3711;44.3;negpal;high;front;negrd;t;str;90
Ajstrup;tx1;4144;48.6;negpal;mid;central;negrd;t;negstr;91
Ajstrup;tør2;2789;34.6;negpal;low;front;rd;t;str;92
Ajstrup;på2;355;15;negpal;mid;back;rd;p;str;93
Ajstrup;tx1;1793;16;negpal;mid;central;negrd;t;negstr;94
Ajstrup;te1;4141;30.5;negpal;high;front;negrd;t;negstr;95
Ajstrup;tør2;3203;41.6;negpal;low;front;rd;t;str;96
Ajstrup;tør2;3026;21.9;negpal;low;front;rd;t;str;97
Als;kjø1;1935;51.3;pal;mid;front;rd;k;negstr;98
Als;te1;930;29.4;negpal;high;front;negrd;t;negstr;99
Als;pe2;640;14.1;negpal;high;front;negrd;p;str;100
