source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,xml_id_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,who_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,start_ref_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,end_ref_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,type_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,subtype_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,tei_events_source_faithful.csv,text_original,,annotation/TEI,Verbatim TEI event field,,string,,,,,,ROG 1.1 ISO TEI,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,id,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,form,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,lemma,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,upos,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,xpos,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,feats,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,head,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,deprel,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,deps,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
rog_slovenian_1_0_1_1_manual_prosody,conllu_tokens_source_faithful.csv,misc,,linguistic annotation,Verbatim CONLL-U field,,string,,,,,,ROG 1.1 ROG-SST,
