source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_4,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.4,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_5,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.5,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_6,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.6,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_7,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.7,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_8,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.8,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_9,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.9,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f1_10,f1_hz_trajectory,acoustic,F1 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 1.0,vowel F1,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_1,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.1,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_2,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.2,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_3,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.3,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_4,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.4,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_5,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.5,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_6,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.6,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_7,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.7,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_8,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.8,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_9,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.9,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f2_10,f2_hz_trajectory,acoustic,F2 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 1.0,vowel F2,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_1,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.1,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_2,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.2,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_3,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.3,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_4,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.4,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_5,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.5,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_6,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.6,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_7,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.7,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_8,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.8,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_9,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 0.9,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_formants_deciles.tsv,f3_10,f3_hz_trajectory,acoustic,F3 trajectory sample,Hz,numeric,,source literal,Praat Burg; 5 formants; 25ms window; 50Hz pre-emphasis; ceiling 5000/5500,normalized vowel time 1.0,vowel F3,getFormants_voxangeles.praat,raw retained
voxangeles_2024,voxangeles_meanf0_file.tsv,file,source_recording_id,recording,Recording basename,,string,,source literal,Recording identifier,,recording,upstream mean-F0 table,
voxangeles_2024,voxangeles_meanf0_file.tsv,meanf0,recording_mean_f0_hz,acoustic,Recording mean F0,Hz,numeric,,source literal,Praat mean-F0 extraction,recording-level,recording F0,getFileMeanf0_voxangeles.praat,raw full precision retained
