it03,ipu_137,Scrivete 'pupo' sul foglio,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--
it03,ipu_148,Ha detto 'capo' sei volte,433.26769698191646,434.52367876405043,433.5352850420508,433.8280156044796,433.634943,433.68793594883886,433.774943,433.6232111949467,433.70231615084384,433.59469082502017,433.76112078882176
it03,ipu_149,Ripete 'puco' da sempre,438.1016212417499,439.3269707714586,438.43565734366257,438.7032454037969,438.534921,438.564921,438.6511645061869,438.522036594987,438.5735798373142,438.5120084734384,--undefined--
it03,ipu_150,Scrivete 'cato' sul foglio,440.5772881448041,442.012400456521,441.0233461139277,441.3106889972934,441.10595719289535,441.1795888067578,441.254943,441.1007874950977,441.1961695295078,441.08019485891754,441.238617789077
it03,ipu_151,Scrivete 'chepo' sul foglio,443.1539008903176,444.60413470669016,443.47356984806197,443.726790764028,443.54720146192443,443.59748646651343,443.67,443.54536670259085,443.60976972695175,443.5390258858172,--undefined--
it03,ipu_152,Scrivete 'chipo' sul foglio,445.659932,447.1384495334722,446.13923368479465,446.4193929960762,446.2326201218885,446.27751744741437,446.3798833496134,446.2294090570094,446.2975198900318,446.20189816948835,446.36054893981935
it03,ipu_153,Ha detto 'chipo' sei volte,448.3851766144691,449.77063736809254,448.71232981092265,449.00146858730943,448.8146957131217,448.85959303864763,448.95657126178355,448.80296216999216,448.874878208824,448.7605123580878,448.93466011796875
it03,ipu_154,Ha detto 'chico' sei volte,450.97241438479597,452.40120976418007,451.3315929890031,451.6315071235161,451.426775319118,451.477060323707,451.57583443986397,451.4258833881314,451.48954249979437,451.39766669002285,451.54644182095353
it03,ipu_155,Scrivete 'chito' sul foglio,453.7150009548079,455.14964155201494,454.15679063798274,454.4351540562433,454.24838118205554,454.2896867215394,454.3848690516543,454.23363397435963,454.3052124816965,454.2043767598053,454.3648728261158
it03,ipu_156,Ripete 'tuto' da sempre,456.4026584010005,457.7104119855278,456.76542879124975,457.06,456.8588152283436,456.9055084468905,457.0114661351316,456.85914118363615,456.924145183787,456.8277744762883,456.9997153880067
it03,ipu_157,Ripete 'tepo' da sempre,459.0681719044204,460.4132733887775,459.454943,459.74163178730885,459.5422876619739,459.5889808805208,459.6859591036567,459.53328037733223,459.60646353385164,459.51359483363177,459.67145985851766
it03,ipu_158,Ripete 'pato' da sempre,461.774943,463.1355876755528,462.134943,462.45181711628607,462.24169763282487,462.31173746064525,462.4069197907602,462.2362823909461,462.3302688047998,462.2242298507668,462.3873042178574
it03,ipu_159,Ha detto 'pepo' sei volte,464.26479949457774,465.634235081039,464.5916520244063,464.878994907772,464.6868343545212,464.7335275730681,464.828709903183,464.68333354029096,464.7744166661079,464.66539592901205,464.8081398506631
it03,ipu_160,Ha detto 'papo' sei volte,466.79239696192934,468.1403436202892,467.0887193104002,467.4065923751236,467.18210574749406,467.2557373613565,467.3563073705345,467.1764694429081,467.29328052909835,467.16660904199136,467.3399890620368
it03,ipu_161,Ha detto 'tapo' sei volte,469.27254954417043,470.6675955714225,469.58399070337254,469.8892925169486,469.67737714046643,469.7348457171396,469.8390075123596,469.6668431196631,469.765617261635,469.65339796125653,469.8258625728057
it03,ipu_162,Ripete 'pico' da sempre,471.9420306669138,473.22748693018934,472.27606676882647,472.5454507219818,472.3640655268572,472.41255463842515,472.49157393135073,472.3567285172854,472.41164035751797,472.34283282910405,--undefined--
it03,ipu_163,Sentivo 'chico' di nuovo,474.73917052746356,475.9644077848932,475.109955,475.43058934056234,475.24561235939564,475.2905096849215,475.37132487086814,475.24673699300854,475.28421338993957,--undefined--,475.35143555007875
it03,ipu_164,Scrivete 'tipo' sul foglio,477.30425624828746,478.8123956402322,477.724943,478.0125145984823,477.82214993825255,477.86345547773635,477.954943,477.81239516086106,477.8887615250613,477.7903052138643,477.9410088103326
it03,ipu_165,Ha detto 'cato' sei volte,482.809955,484.1466408931801,483.1363374079966,483.41829261229924,483.229955,483.299955,483.379955,483.22208159140143,483.3162025006735,--undefined--,--undefined--
it03,ipu_166,Ripete 'peco' da sempre,485.6289941814593,486.95531725466213,485.9612343903509,486.24678138069555,486.05102904140267,486.1120894041179,486.19290459006453,486.04353181340656,486.1305746368505,--undefined--,--undefined--
