source_id,token_id,utterance_id,segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,style,text,annotation_status,provenance_file,upstream_blob_sha
pavoque,pavoque::angry::spike0010::004,pavoque::angry::spike0010,4,C,,0.455,0.539822,0.084822,31.895,31.979822,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::005,pavoque::angry::spike0010,5,b,,0.539822,0.6273,0.087478,31.979822,32.0673,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::006,pavoque::angry::spike0010,6,I,,0.6273,0.695,0.0677,32.0673,32.135,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::007,pavoque::angry::spike0010,7,n,,0.695,0.770121,0.075121,32.135,32.210121,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::008,pavoque::angry::spike0010,8,s,,0.770121,0.87,0.099879,32.210121,32.31,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::009,pavoque::angry::spike0010,9,p,,0.87,0.940697,0.070697,32.31,32.380697,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::010,pavoque::angry::spike0010,10,aI,,0.940697,1.165,0.224303,32.380697,32.605,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::011,pavoque::angry::spike0010,11,k,,1.165,1.281078,0.116078,32.605,32.721078,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::012,pavoque::angry::spike0010,12,_,,1.281078,1.371649,0.090571,32.721078,32.811649,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::013,pavoque::angry::spike0010,13,v,,1.371649,1.396535,0.024886,32.811649,32.836535,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::014,pavoque::angry::spike0010,14,a,,1.396535,1.47,0.073465,32.836535,32.91,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::015,pavoque::angry::spike0010,15,s,,1.47,1.55,0.08,32.91,32.99,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::016,pavoque::angry::spike0010,16,f,,1.55,1.577704,0.027704,32.99,33.017704,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::017,pavoque::angry::spike0010,17,y:,,1.577704,1.605954,0.02825,33.017704,33.045954,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::018,pavoque::angry::spike0010,18,6,,1.605954,1.61271,0.006756,33.045954,33.05271,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::019,pavoque::angry::spike0010,19,?,,1.61271,1.616394,0.003684,33.05271,33.056394,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::020,pavoque::angry::spike0010,20,aI,,1.616394,1.683949,0.067555,33.056394,33.123949,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::021,pavoque::angry::spike0010,21,n,,1.683949,1.722639,0.03869,33.123949,33.162639,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::022,pavoque::angry::spike0010,22,p,,1.722639,1.764092,0.041453,33.162639,33.204092,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::023,pavoque::angry::spike0010,23,R,,1.764092,1.8,0.035908,33.204092,33.24,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::024,pavoque::angry::spike0010,24,o:,,1.8,1.852221,0.052221,33.24,33.292221,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::025,pavoque::angry::spike0010,25,b,,1.852221,1.92649,0.074269,33.292221,33.36649,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::026,pavoque::angry::spike0010,26,l,,1.92649,1.955,0.02851,33.36649,33.395,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::027,pavoque::angry::spike0010,27,e:,,1.955,2.07,0.115,33.395,33.51,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::028,pavoque::angry::spike0010,28,m,,2.07,2.13,0.06,33.51,33.57,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::029,pavoque::angry::spike0010,29,h,,2.13,2.185,0.055,33.57,33.625,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::030,pavoque::angry::spike0010,30,a,,2.185,2.245,0.06,33.625,33.685,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::031,pavoque::angry::spike0010,31,s,,2.245,2.318961,0.073961,33.685,33.758961,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::032,pavoque::angry::spike0010,32,t,,2.318961,2.35151,0.032549,33.758961,33.79151,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::033,pavoque::angry::spike0010,33,d,,2.35151,2.387845,0.036335,33.79151,33.827845,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::034,pavoque::angry::spike0010,34,u:,,2.387845,2.581195,0.19335,33.827845,34.021195,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::angry::spike0010::035,pavoque::angry::spike0010,35,_,,2.581195,4.075,1.493805,34.021195,35.515,angry,"Ich bin Spike, was für ein Problem hast du?",manual_corrected,annotations/angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
