source_id,source_utterance_id,utterance_text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_relative_s,segment_end_relative_s,duration_s,segment_start_absolute_s,segment_end_absolute_s,annotation_method,provenance
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,14,a:,1.415,1.549897,0.134897,17.135,17.269897,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,15,R,1.549897,1.607027,0.05713,17.269897,17.327027,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,16,@,1.607027,1.658629,0.051602,17.327027,17.378629,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,17,?,1.658629,1.672144,0.013515,17.378629,17.392144,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,18,U,1.672144,1.745,0.072856,17.392144,17.465,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,19,n,1.745,1.786323,0.041323,17.465,17.506323,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,20,t,1.786323,1.855749,0.069426,17.506323,17.575749,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,21,?,1.855749,1.86031,0.004561,17.575749,17.58031,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,22,aI,1.86031,1.930153,0.069843,17.58031,17.650153,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,23,n,1.930153,1.99,0.059847,17.650153,17.71,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,24,f,1.99,2.12,0.13,17.71,17.84,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,25,OY,2.12,2.26,0.14,17.84,17.98,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,26,R,2.26,2.315,0.055,17.98,18.035,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,27,I,2.315,2.36,0.045,18.035,18.08,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,28,g,2.36,2.406849,0.046849,18.08,18.126849,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,29,@,2.406849,2.45,0.043151,18.126849,18.17,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,30,s,2.45,2.529102,0.079102,18.17,18.249102,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,31,t,2.529102,2.604991,0.075889,18.249102,18.324991,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,32,E,2.604991,2.67,0.065009,18.324991,18.39,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,33,m,2.67,2.715,0.045,18.39,18.435,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,34,p,2.715,2.776022,0.061022,18.435,18.496022,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,35,6,2.776022,2.779823,0.003801,18.496022,18.499823,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,36,R,2.779823,2.8,0.020177,18.499823,18.52,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,37,a,2.8,2.863285,0.063285,18.52,18.583285,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,38,m,2.863285,2.92533,0.062045,18.583285,18.64533,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,39,E,2.92533,3.034062,0.108732,18.64533,18.754062,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,40,n,3.034062,3.08075,0.046688,18.754062,18.80075,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,41,t,3.08075,3.21774,0.13699,18.80075,18.93774,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0005,Ich habe rote Haare und ein feuriges Temperament.,angry,15.72,20.16,42,_,3.21774,4.435,1.21726,18.93774,20.155,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,1,H#,0,0.387589,0.387589,20.16,20.547589,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,2,?,0.387589,0.437957,0.050368,20.547589,20.597957,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,3,a,0.437957,0.512895,0.074938,20.597957,20.672895,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,4,l,0.512895,0.555,0.042105,20.672895,20.715,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,5,z,0.555,0.598275,0.043275,20.715,20.758275,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,6,o:,0.598275,0.802819,0.204544,20.758275,20.962819,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,7,?,0.802819,0.89557,0.092751,20.962819,21.05557,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,8,I,0.89557,0.923211,0.027641,21.05557,21.083211,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,9,n,0.923211,0.982793,0.059582,21.083211,21.142793,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,10,v,0.982793,1.015,0.032207,21.142793,21.175,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,11,E,1.015,1.081687,0.066687,21.175,21.241687,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,12,l,1.081687,1.105,0.023313,21.241687,21.265,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,13,C,1.105,1.173823,0.068823,21.265,21.333823,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,14,@,1.173823,1.178123,0.0043,21.333823,21.338123,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,15,m,1.178123,1.240776,0.062653,21.338123,21.400776,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,16,ts,1.240776,1.345,0.104224,21.400776,21.505,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,17,u:,1.345,1.405,0.06,21.505,21.565,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,18,S,1.405,1.461905,0.056905,21.565,21.621905,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,19,t,1.461905,1.508438,0.046533,21.621905,21.668438,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,20,a,1.508438,1.55,0.041562,21.668438,21.71,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,21,n,1.55,1.59151,0.04151,21.71,21.75151,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,22,t,1.59151,1.628979,0.037469,21.75151,21.788979,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,23,b,1.628979,1.676464,0.047485,21.788979,21.836464,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,24,I,1.676464,1.715,0.038536,21.836464,21.875,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,25,s,1.715,1.774556,0.059556,21.875,21.934556,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,26,t,1.774556,1.802811,0.028255,21.934556,21.962811,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,27,d,1.802811,1.84297,0.040159,21.962811,22.00297,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,28,u:,1.84297,1.913375,0.070405,22.00297,22.073375,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,29,h,1.913375,1.96,0.046625,22.073375,22.12,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,30,OY,1.96,2.08045,0.12045,22.12,22.24045,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,31,t,2.08045,2.148358,0.067908,22.24045,22.308358,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,32,@,2.148358,2.303421,0.155063,22.308358,22.463421,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
pavoque,spike0006,"Also, in welchem Zustand bist du heute?",angry,20.16,24.0,33,_,2.303421,3.835,1.531579,22.463421,23.995,manually corrected phonetic segments,marytts/pavoque-data:pavoque-angry.yaml
