source_id,recording_id,source_recording_id,annotation_type,original_annotation,normalized_ipa,source_file,source_blob_sha,provenance
jsut_label,jsut_label::BASIC5000_1381,BASIC5000_1381,manual_phonetic_prosodic_symbol_sequence,"^-g-o-[-s-e-e-ky-u-u-b-u-N-n-o-#-sh-o-]-o-h-i-N-w-a-#-k-e-[-cl-k-a-N-h-i-N-d-e-]-sh-i-t-a-n-o-d-e-_-w-a-[-t-a-k-u-sh-i-]-d-o-m-o-t-o-#-sh-i-[-t-e-]-w-a-_-o-[-sh-i-h-a-r-a-i-#-i-[-t-a-sh-i-k-a-n-e-m-a-s-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1382,BASIC5000_1382,manual_phonetic_prosodic_symbol_sequence,"^-k-a-[-N-p-e-k-i-n-a-o-cl-t-o-n-i-_-m-a-]-d-a-#-d-e-[-a-]-cl-t-a-k-o-t-o-g-a-#-n-a-]-i-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1383,BASIC5000_1383,manual_phonetic_prosodic_symbol_sequence,"^-sh-u-[-cl-k-e-ts-u-o-#-t-o-[-m-e-r-u-t-a-m-e-]-n-i-_-d-o-]-o-n-i-k-a-#-sh-i-[-n-a-]-k-e-r-e-b-a-#-n-a-[-r-a-]-n-a-i-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1384,BASIC5000_1384,manual_phonetic_prosodic_symbol_sequence,"^-o-[-w-a-s-u-r-e-n-i-#-n-a-]-cl-t-a-#-d-a-[-k-e-]-k-a-t-o-#-o-[-m-o-i-m-a-]-sh-i-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1385,BASIC5000_1385,manual_phonetic_prosodic_symbol_sequence,"^-f-u-[-y-u-y-a-]-s-u-m-i-w-a-#-d-o-]-n-o-y-o-o-n-i-#-s-u-[-g-o-sh-i-m-a-]-sh-i-t-a-k-a-?- $",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1386,BASIC5000_1386,manual_phonetic_prosodic_symbol_sequence,"^-s-e-[-k-i-h-i-N-t-o-]-g-u-ch-i-n-i-#-i-[-t-a-r-a-]-b-a-_-k-o-]-i-w-a-#-m-a-]-d-o-y-o-r-i-#-t-o-[-b-i-s-a-]-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1387,BASIC5000_1387,manual_phonetic_prosodic_symbol_sequence,"^-s-o-[-n-o-#-sh-i-[-g-o-t-o-w-a-_-sh-o-[-o-g-o-m-a-]-e-n-i-#-o-[-e-n-e-]-b-a-#-n-a-[-r-a-]-n-a-i-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1388,BASIC5000_1388,manual_phonetic_prosodic_symbol_sequence,"^-h-a-]-k-a-s-e-t-a-ch-i-n-o-#-i-]-k-e-N-g-a-#-i-[-cl-ch-i-sh-i-n-a-i-t-o-]-k-i-w-a-_-d-a-]-r-e-g-a-#-k-i-[-m-e-r-u-]-n-o-k-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1389,BASIC5000_1389,manual_phonetic_prosodic_symbol_sequence,"^-sh-i-[-ts-u-m-e-e-s-u-r-u-k-o-t-o-#-i-]-j-o-o-n-i-_-o-]-o-k-i-n-a-#-f-u-]-k-o-o-g-a-#-a-]-r-u-d-a-r-o-o-k-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1390,BASIC5000_1390,manual_phonetic_prosodic_symbol_sequence,"^-k-o-[-o-r-u-y-o-]-o-n-a-#-ts-u-[-m-e-t-a-i-#-k-a-[-z-e-g-a-_-h-o-[-n-e-]-m-a-d-e-#-sh-i-[-m-i-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1391,BASIC5000_1391,manual_phonetic_prosodic_symbol_sequence,"^-i-[-cl-p-i-k-i-]-n-o-#-i-[-n-u-]-t-o-_-f-u-[-t-a-r-i-]-n-o-#-n-i-[-N-g-e-N-g-a-#-j-a-]-N-p-u-#-sh-i-[-t-e-i-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1392,BASIC5000_1392,manual_phonetic_prosodic_symbol_sequence,"^-o-[-cl-t-e-#-ts-u-[-u-ch-i-g-a-#-a-]-r-u-m-a-d-e-_-k-a-[-i-g-o-o-w-a-#-e-[-N-k-i-s-a-r-e-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1393,BASIC5000_1393,manual_phonetic_prosodic_symbol_sequence,"^-sh-u-[-u-d-o-]-o-sh-i-n-o-#-y-o-]-o-n-i-#-z-u-]-k-i-N-o-#-k-a-[-b-u-]-cl-t-a-#-k-u-]-m-o-w-a-_-p-o-[-ts-u-]-r-i-#-p-o-[-ts-u-]-r-i-t-o-_-o-[-ch-i-]-r-u-#-a-]-m-e-o-#-j-u-[-z-u-n-o-#-y-o-]-o-n-i-#-ts-u-[-m-a-g-u-]-cl-t-e-i-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1394,BASIC5000_1394,manual_phonetic_prosodic_symbol_sequence,"^-t-o-]-o-g-i-n-o-#-k-a-[-t-e-e-d-e-_-s-o-[-n-o-#-k-o-[-t-o-]-n-i-w-a-#-f-u-[-r-e-r-a-r-e-n-a-]-k-a-cl-t-a-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
jsut_label,jsut_label::BASIC5000_1395,BASIC5000_1395,manual_phonetic_prosodic_symbol_sequence,"^-t-a-[-e-r-a-r-e-]-n-a-i-#-a-[-cl-p-a-k-u-k-a-r-a-#-n-o-[-g-a-r-e-]-r-u-#-t-a-[-m-e-]-n-i-_-j-i-[-s-a-ts-u-n-i-#-h-a-[-sh-i-]-r-u-#-k-o-[-d-o-m-o-]-t-a-ch-i-m-o-#-i-[-r-u-$",,e2e_symbol/phoneme.yaml,ae8933677c082c22238a895012b6b6dcba1f6625,source-faithful
