source_id,utterance_id,token_id,segment_index,original_label,normalized_ipa,interval_start_s,interval_end_s,duration_s,absolute_start_s,absolute_end_s,style,annotation_status,source_blob_sha
pavoque,pavoque::spike0011,pavoque::spike0011::seg026,26,h,,1.95,2.01,0.06,37.47,37.53,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg027,27,a,,2.01,2.085,0.075,37.53,37.605,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg028,28,s,,2.085,2.155388,0.070388,37.605,37.675388,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg029,29,t,,2.155388,2.1904,0.035012,37.675388,37.7104,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg030,30,d,,2.1904,2.23,0.0396,37.7104,37.75,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg031,31,u:,,2.23,2.452683,0.222683,37.75,37.972683,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0011,pavoque::spike0011::seg032,32,_,,2.452683,3.835,1.382317,37.972683,39.355,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg001,1,H#,,0,0.340921,0.340921,39.36,39.700921,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg002,2,?,,0.340921,0.365492,0.024571,39.700921,39.725492,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg003,3,E,,0.365492,0.44,0.074508,39.725492,39.8,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg004,4,n,,0.44,0.492646,0.052646,39.8,39.852646,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg005,5,t,,0.492646,0.516768,0.024122,39.852646,39.876768,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg006,6,S,,0.516768,0.6241,0.107332,39.876768,39.9841,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg007,7,U,,0.6241,0.7,0.0759,39.9841,40.06,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg008,8,l,,0.7,0.77,0.07,40.06,40.13,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg009,9,d,,0.77,0.806959,0.036959,40.13,40.166959,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg010,10,I,,0.806959,0.865,0.058041,40.166959,40.225,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg011,11,g,,0.865,0.929118,0.064118,40.225,40.289118,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg012,12,U,,0.929118,1.02,0.090882,40.289118,40.38,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg013,13,N,,1.02,1.080504,0.060504,40.38,40.440504,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg014,14,_,,1.080504,1.290585,0.210081,40.440504,40.650585,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg015,15,z,,1.290585,1.38,0.089415,40.650585,40.74,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg016,16,a:,,1.38,1.475481,0.095481,40.74,40.835481,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg017,17,k,,1.475481,1.51,0.034519,40.835481,40.87,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg018,18,d,,1.51,1.570693,0.060693,40.87,40.930693,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg019,19,a,,1.570693,1.63,0.059307,40.930693,40.99,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg020,20,s,,1.63,1.701533,0.071533,40.99,41.061533,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg021,21,n,,1.701533,1.732861,0.031328,41.061533,41.092861,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg022,22,O,,1.732861,1.8,0.067139,41.092861,41.16,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg023,23,x,,1.8,1.850187,0.050187,41.16,41.210187,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg024,24,m,,1.850187,1.93,0.079813,41.210187,41.29,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg025,25,a:,,1.93,2.079925,0.149925,41.29,41.439925,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg026,26,l,,2.079925,2.247621,0.167696,41.439925,41.607621,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0012,pavoque::spike0012::seg027,27,_,,2.247621,3.415,1.167379,41.607621,42.775,angry,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
