source_id,source_file,row_index,A,B,C,D
ccost_zenodo_17366698,wordlist.csv,45,ต่าง,วา,น้า,วัด
ccost_zenodo_17366698,wordlist.csv,46,หมา,น่าน,ป้าน,วา
ccost_zenodo_17366698,wordlist.csv,47,ดุ๊ก,ขัน,มัน,น่าน
ccost_zenodo_17366698,wordlist.csv,48,ดัตช์,ลัง,ลาง,ขัน
ccost_zenodo_17366698,wordlist.csv,49,ตา,ถัง,กาก,หน้า
ccost_zenodo_17366698,wordlist.csv,50,หน้า,หน่อ,ก้าน,พัด
ccost_zenodo_17366698,wordlist.csv,51,พัด,บัส,หมัน,บ่าง
ccost_zenodo_17366698,wordlist.csv,52,บ่าง,หวี่,ท้อง,ป่า
ccost_zenodo_17366698,wordlist.csv,53,ป่า,ตู้,หนอง,ถี่
ccost_zenodo_17366698,wordlist.csv,54,ถี่,คาร์ป,หวาน,ข่า
ccost_zenodo_17366698,wordlist.csv,55,ข่า,ถ่าน,การ,แก็งค์
ccost_zenodo_17366698,wordlist.csv,56,แก็งค์,ปัน,วัด,หนัก
ccost_zenodo_17366698,wordlist.csv,57,แก็ส,เหลา,หนา,ลัง
ccost_zenodo_17366698,wordlist.csv,58,ว่าน,ลั่น,บัตร,ขาด
ccost_zenodo_17366698,wordlist.csv,59,เหล่า,นั่ง,มั่น,คา
ccost_zenodo_17366698,wordlist.csv,60,หมู่,ปาด,ตาก,ดัด
ccost_zenodo_17366698,wordlist.csv,61,หมาด,ตี๋,หวั่น,กัด
ccost_zenodo_17366698,wordlist.csv,62,หนัก,ผา,หมาง,ว้าก
ccost_zenodo_17366698,wordlist.csv,63,ป่าน,ผ้า,หวาด,พา
ccost_zenodo_17366698,wordlist.csv,64,ตุ๊ด,ม้า,พ้อง,น้อง
ccost_zenodo_17366698,wordlist.csv,65,ม้า,บ้าน,เบา,ป้าบ
ccost_zenodo_17366698,wordlist.csv,66,บ้าน,หนอก,ขาด,ตุ๊ด
ccost_zenodo_17366698,wordlist.csv,67,หนอก,วุ้น,คา,บั้ง
ccost_zenodo_17366698,wordlist.csv,68,วุ้น,ขา,ดัด,บาด
ccost_zenodo_17366698,wordlist.csv,69,ขา,บัง,กัด,ท้า
ccost_zenodo_17366698,wordlist.csv,70,บัง,นาน,ว้าก,ลาก
ccost_zenodo_17366698,wordlist.csv,71,นาน,หลัก,พา,วาด
ccost_zenodo_17366698,wordlist.csv,72,หลัก,มุ้ง,น้อง,นา
ccost_zenodo_17366698,wordlist.csv,73,มุ้ง,น้า,ป้าบ,มาด
ccost_zenodo_17366698,wordlist.csv,74,น้า,ป้าน,ตุ๊ด,แผน
ccost_zenodo_17366698,wordlist.csv,75,ป้าน,มัน,บั้ง,นันท์
ccost_zenodo_17366698,wordlist.csv,76,มัน,ลาง,บาด,ท่า
ccost_zenodo_17366698,wordlist.csv,77,ลาง,นา,ท้า,นิ้ง
ccost_zenodo_17366698,wordlist.csv,78,นา,มาด,ลาก,ก้าบ
ccost_zenodo_17366698,wordlist.csv,79,มาด,แผน,วาด,หวาย
ccost_zenodo_17366698,wordlist.csv,80,แผน,นันท์,คาด,บาส
ccost_zenodo_17366698,wordlist.csv,81,นันท์,ท่า,ตาล,คาด
ccost_zenodo_17366698,wordlist.csv,82,ท่า,นิ้ง,ตัน,ตาล
ccost_zenodo_17366698,wordlist.csv,83,นิ้ง,ก้าบ,กุ๊ย,ตัน
ccost_zenodo_17366698,wordlist.csv,84,ก้าบ,หวาย,ถาด,กุ๊ย
ccost_zenodo_17366698,wordlist.csv,85,หวาย,กาก,พาน,ถาด
ccost_zenodo_17366698,wordlist.csv,86,กาก,แหลม,ขุ่น,พาน
ccost_zenodo_17366698,wordlist.csv,87,แหลม,แผ่น,ไหม้,ขุ่น
ccost_zenodo_17366698,wordlist.csv,88,แผ่น,บ่า,บ๋อย,ไหม้
ccost_zenodo_17366698,wordlist.csv,89,บ่า,ด้าน,แหลม,บ๋อย
ccost_zenodo_17366698,wordlist.csv,90,ด้าน,ข้าง,แผ่น,แหลม
ccost_zenodo_17366698,wordlist.csv,91,ข้าง,ทาส,บ่า,แผ่น
ccost_zenodo_17366698,wordlist.csv,92,ทาส,เล้า,ด้าน,บ่า
ccost_zenodo_17366698,wordlist.csv,93,เล้า,ขั้น,ข้าง,ด้าน
ccost_zenodo_17366698,wordlist.csv,94,ขั้น,ก้าน,ทาส,ข้าง
ccost_zenodo_17366698,wordlist.csv,95,ก้าน,หมัน,เล้า,ทาส
ccost_zenodo_17366698,wordlist.csv,96,หมัน,ท้อง,ขั้น,เล้า
ccost_zenodo_17366698,wordlist.csv,97,ท้อง,หนอง,ต่อ,ขั้น
ccost_zenodo_17366698,wordlist.csv,98,หนอง,หวาน,ดุ่ม,ต่อ
ccost_zenodo_17366698,wordlist.csv,99,หวาน,การ,หนุ่ม,ถัง
ccost_zenodo_17366698,wordlist.csv,100,การ,วัด,วา,หน่อ
ccost_zenodo_17366698,wordlist.csv,101,วัด,หนา,น่าน,บัส
ccost_zenodo_17366698,wordlist.csv,102,หนา,บัตร,ขัน,หวี่
ccost_zenodo_17366698,wordlist.csv,103,บัตร,มั่น,ลัง,ตู้
ccost_zenodo_17366698,wordlist.csv,104,หมั้น,ตาก,ถัง,คาร์ป
ccost_zenodo_17366698,wordlist.csv,105,ตาก,หวั่น,หน่อ,ถ่าน
ccost_zenodo_17366698,wordlist.csv,106,หวั่น,หมาง,บัส,หมัก
ccost_zenodo_17366698,wordlist.csv,107,หมาง,หวาด,หวี่,แล่บ
ccost_zenodo_17366698,wordlist.csv,108,หวาด,พ้อง,ตู้,หลั่ง
ccost_zenodo_17366698,wordlist.csv,109,พ้อง,เบา,คาร์ป,ผัด
ccost_zenodo_17366698,wordlist.csv,110,เบา,ขาด,ถ่าน,เดา
ccost_zenodo_17366698,wordlist.csv,111,ขาด,คา,หมัก,โหม่ง
ccost_zenodo_17366698,wordlist.csv,112,คา,ดัด,แล่บ,หนา
ccost_zenodo_17366698,wordlist.csv,113,ดัด,กัด,หลั่ง,บัตร
ccost_zenodo_17366698,wordlist.csv,114,กัด,ว้าก,ผัด,มั่น
ccost_zenodo_17366698,wordlist.csv,115,ว้าก,พา,เดา,ตาก
ccost_zenodo_17366698,wordlist.csv,116,พา,ทัน,โหม่ง,หวั่น
ccost_zenodo_17366698,wordlist.csv,117,ทัน,ก่อ,หวัง,หมาง
ccost_zenodo_17366698,wordlist.csv,118,ก่อ,ผ่า,คัน,หวาด
ccost_zenodo_17366698,wordlist.csv,119,ผ่า,พัง,หมั่น,พ้อง
ccost_zenodo_17366698,wordlist.csv,120,พัง,มา,ค่า,เบา
ccost_zenodo_17366698,wordlist.csv,121,มา,พ้อ,พาด,ดุ่ม
ccost_zenodo_17366698,wordlist.csv,122,พ้อ,บาง,ทิ้ง,หนุ่ม
ccost_zenodo_17366698,wordlist.csv,123,บาง,คาน,ถ่อม,หวัง
ccost_zenodo_17366698,wordlist.csv,124,คาน,ตัด,ปั้น,คัน
ccost_zenodo_17366698,wordlist.csv,125,ตัด,บั่น,ถัด,หมั่น
ccost_zenodo_17366698,wordlist.csv,126,บั่น,แก่น,ด้าย,ค่า
ccost_zenodo_17366698,wordlist.csv,127,บั้ง,บ้า,ค้าน,พาด
ccost_zenodo_17366698,wordlist.csv,128,บาด,เมรุ,หลาก,ทิ้ง
ccost_zenodo_17366698,wordlist.csv,129,ท้า,กา,ทา,ถ่อม
ccost_zenodo_17366698,wordlist.csv,130,ลาก,ม่าน,ผ่าน,ปั้น
ccost_zenodo_17366698,wordlist.csv,131,วาด,แบ๊ว,ดาด,ถัด
ccost_zenodo_17366698,wordlist.csv,132,คาด,ป๊า,ดอง,ด้าย
ccost_zenodo_17366698,wordlist.csv,133,หมัก,ป๋า,ทัด,ค้าน
ccost_zenodo_17366698,wordlist.csv,134,แลบ,แท่น,ตั้ง,หลาก
ccost_zenodo_17366698,wordlist.csv,135,หลั่ง,เขื่อน,นาบ,ทา
ccost_zenodo_17366698,wordlist.csv,136,ผัด,วัน,ตุ๊ย,ผ่าน
ccost_zenodo_17366698,wordlist.csv,137,เดา,บุ๋ม,วาง,ดาด
ccost_zenodo_17366698,wordlist.csv,138,โหม่ง,ต่าง,ไว้,ดอง
ccost_zenodo_17366698,wordlist.csv,139,หวัง,หมา,ขาน,ทัด
ccost_zenodo_17366698,wordlist.csv,140,คัน,ดุ๊ก,ต้าน,ตั้ง
ccost_zenodo_17366698,wordlist.csv,141,หมั่น,ดัตช์,หวัด,นาบ
ccost_zenodo_17366698,wordlist.csv,142,ค่า,ตา,ว่า,ตุ๊ย
ccost_zenodo_17366698,wordlist.csv,143,พาด,หน้า,เลา,วาง
ccost_zenodo_17366698,wordlist.csv,144,ทิ้ง,พัด,ต๋ง,ไว้
ccost_zenodo_17366698,wordlist.csv,145,ถ่อม,บ่าง,ทาน,ขาน
ccost_zenodo_17366698,wordlist.csv,146,ปั้น,ป่า,ท่าม,ปาด
ccost_zenodo_17366698,wordlist.csv,147,ถัด,ถี่,นัด,ตี๋
ccost_zenodo_17366698,wordlist.csv,148,ด้าย,ข่า,ป้า,ผา
ccost_zenodo_17366698,wordlist.csv,149,ค้าน,แก็งค์,หลัง,ผ้า
ccost_zenodo_17366698,wordlist.csv,150,หลาก,แก็ส,แบงค์,ม้า
ccost_zenodo_17366698,wordlist.csv,151,ทา,ว่าน,ด่าน,บ้าน
ccost_zenodo_17366698,wordlist.csv,152,ผ่าน,เหล่า,ฐาน,หนอก
ccost_zenodo_17366698,wordlist.csv,153,ดาด,หมู่,ทัน,ต้าน
ccost_zenodo_17366698,wordlist.csv,154,ดอง,หมาด,ก่อ,หวัด
ccost_zenodo_17366698,wordlist.csv,155,ทัด,หนัก,ผ่า,ว่า
ccost_zenodo_17366698,wordlist.csv,156,ตั้ง,ป่าน,พัง,เลา
ccost_zenodo_17366698,wordlist.csv,157,นาบ,ตุ๊ด,มา,ต๋ง
ccost_zenodo_17366698,wordlist.csv,158,ตุ๊ย,บั้ง,พ้อ,ทาน
ccost_zenodo_17366698,wordlist.csv,159,วาง,บาด,บาง,ท่าม
ccost_zenodo_17366698,wordlist.csv,160,ไว้,ท้า,คาน,นัด
ccost_zenodo_17366698,wordlist.csv,161,ขาน,ลาก,ตัด,ป้า
ccost_zenodo_17366698,wordlist.csv,162,ต้าน,วาด,บั่น,หลัง
ccost_zenodo_17366698,wordlist.csv,163,กู้,คาด,แก่น,แบงค์
ccost_zenodo_17366698,wordlist.csv,164,แผด,หมัก,บ้า,ด่าน
ccost_zenodo_17366698,wordlist.csv,165,ถู,แล่บ,เมรุ,ฐาน
ccost_zenodo_17366698,wordlist.csv,166,ขัด,หลั่ง,กา,ทัน
ccost_zenodo_17366698,wordlist.csv,167,วิ่ง,ผัด,ม่าน,ก่อ
ccost_zenodo_17366698,wordlist.csv,168,หนำ,เดา,แบ๊ว,ผ่า
ccost_zenodo_17366698,wordlist.csv,169,ด่า,โหม่ง,ป๊า,พัง
ccost_zenodo_17366698,wordlist.csv,170,คัด,หวัง,ป๋า,มา
ccost_zenodo_17366698,wordlist.csv,171,กั้น,คัน,แท่น,พ้อ
ccost_zenodo_17366698,wordlist.csv,172,กัน,หมั่น,เขื่อน,บาง
ccost_zenodo_17366698,wordlist.csv,173,ปัน,ค่า,วัน,คาน
ccost_zenodo_17366698,wordlist.csv,174,เหลา,พาด,บุ๋ม,ตัด
ccost_zenodo_17366698,wordlist.csv,175,ลั่น,ทิ้ง,ต่าง,บั่น
ccost_zenodo_17366698,wordlist.csv,176,นั่ง,ถ่อม,หมา,แก่น
ccost_zenodo_17366698,wordlist.csv,177,ปาด,ปั้น,ดุ๊ก,บ้า
ccost_zenodo_17366698,wordlist.csv,178,หว่าน,ถัด,ดัตช์,เมรุ
ccost_zenodo_17366698,wordlist.csv,179,ปั่น,ด้าย,ตา,กา
ccost_zenodo_17366698,wordlist.csv,180,คั้น,ค้าน,หน้า,ม่าน
ccost_zenodo_17366698,wordlist.csv,181,ลัก,หลาก,พัด,แบ๊ว
ccost_zenodo_17366698,wordlist.csv,182,ปัด,ทา,บ่าง,ป๊า
ccost_zenodo_17366698,wordlist.csv,183,ลิ้ม,ผ่าน,ป่า,ป๋า
ccost_zenodo_17366698,wordlist.csv,184,เหล้า,ดาด,ถี่,แท่น
ccost_zenodo_17366698,wordlist.csv,185,ปา,ดอง,ข่า,เขื่อน
ccost_zenodo_17366698,wordlist.csv,186,พุ่ง,ทัด,แก็งค์,วัน
ccost_zenodo_17366698,wordlist.csv,187,มัด,ตั้ง,แก็ส,บุ๋ม
ccost_zenodo_17366698,wordlist.csv,188,ค้า,นาบ,ว่าน,ต่าง
ccost_zenodo_17366698,wordlist.csv,189,แว้ง,ตุ๊ย,เหล่า,หมา
ccost_zenodo_17366698,wordlist.csv,190,ผัน,วาง,หมู่,ดุ๊ก
ccost_zenodo_17366698,wordlist.csv,191,ดั้น,ไว้,หมาด,ดัตช์
ccost_zenodo_17366698,wordlist.csv,192,ตื่น,ขาน,หนัก,ตา
ccost_zenodo_17366698,wordlist.csv,193,ล้าง,ต้าน,ป่าน,ป่าน
ccost_zenodo_17366698,wordlist.csv,194,ม้าม,กู้,กู้,กู้
ccost_zenodo_17366698,wordlist.csv,195,ตาล,แผด,แผด,แผด
ccost_zenodo_17366698,wordlist.csv,196,ตัน,ถู,ถู,ถู
ccost_zenodo_17366698,wordlist.csv,197,กุ๊ย,ขัด,ขัด,ขัด
ccost_zenodo_17366698,wordlist.csv,198,ถาด,วิ่ง,วิ่ง,วิ่ง
ccost_zenodo_17366698,wordlist.csv,199,พาน,หนำ,หนำ,หนำ
ccost_zenodo_17366698,wordlist.csv,200,ขุ่น,ด่า,ด่า,ด่า
ccost_zenodo_17366698,wordlist.csv,201,ไหม้,คัด,คัด,คัด
ccost_zenodo_17366698,wordlist.csv,202,บ๋อย,กั้น,กั้น,กั้น
ccost_zenodo_17366698,wordlist.csv,203,ต่อ,กัน,กัน,กัน
ccost_zenodo_17366698,wordlist.csv,204,ดุ่ม,หว่าน,หว่าน,หว่าน
ccost_zenodo_17366698,wordlist.csv,205,หนุ่ม,ปั่น,ปั่น,ปั่น
ccost_zenodo_17366698,wordlist.csv,206,วา,คั้น,คั้น,คั้น
