source_id,source_file,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_rel_s,segment_end_rel_s,segment_start_abs_s,segment_end_abs_s
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,12,u:,1.129709,1.180795,7.069709,7.120795
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,13,j,1.180795,1.23,7.120795,7.17
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,14,a:,1.23,1.3079,7.17,7.2479
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,15,d,1.3079,1.348481,7.2479,7.288481
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,16,a,1.348481,1.39,7.288481,7.33
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,17,s,1.39,1.462638,7.33,7.402638
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,18,?,1.462638,1.468164,7.402638,7.408164
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,19,I,1.468164,1.50255,7.408164,7.44255
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,20,C,1.50255,1.576235,7.44255,7.516235
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,21,d,1.576235,1.671168,7.516235,7.611168
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,22,U,1.671168,1.733428,7.611168,7.673428
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,23,m,1.733428,1.807727,7.673428,7.747727
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,24,k,1.807727,1.936428,7.747727,7.876428
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,25,9,1.936428,1.97137,7.876428,7.91137
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,26,pf,1.97137,2.125,7.91137,8.065
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,27,@,2.125,2.131325,8.065,8.071325
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,28,n,2.131325,2.205,8.071325,8.145
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,29,g,2.205,2.259115,8.145,8.199115
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,30,e:,2.259115,2.32,8.199115,8.26
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,31,g,2.32,2.360904,8.26,8.300904
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,32,@,2.360904,2.364854,8.300904,8.304854
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,33,n,2.364854,2.413168,8.304854,8.353168
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,34,?,2.413168,2.442642,8.353168,8.382642
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,35,y:,2.442642,2.525,8.382642,8.465
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,36,b,2.525,2.580587,8.465,8.520587
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,37,6,2.580587,2.655,8.520587,8.595
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,38,n,2.655,2.69,8.595,8.63
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,39,I,2.69,2.74,8.63,8.68
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,40,C,2.74,2.812424,8.68,8.752424
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,41,t,2.812424,2.87,8.752424,8.81
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,42,z,2.87,2.92,8.81,8.86
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,43,e:,2.92,2.96089,8.86,8.90089
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,44,6,2.96089,3.006943,8.90089,8.946943
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,45,t,3.006943,3.115665,8.946943,9.055665
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,46,O,3.115665,3.155,9.055665,9.095
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,47,l,3.155,3.183172,9.095,9.123172
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,48,@,3.183172,3.262996,9.123172,9.202996
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,49,R,3.262996,3.305,9.202996,9.245
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,50,a,3.305,3.385,9.245,9.325
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,51,n,3.385,3.44,9.325,9.38
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,52,t,3.44,3.500015,9.38,9.440015
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,53,b,3.500015,3.572349,9.440015,9.512349
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,54,I,3.572349,3.660769,9.512349,9.600769
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,55,n,3.660769,3.741332,9.600769,9.681332
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0003,"Na dann weißt du ja, dass ich Dummköpfen gegenüber nicht sehr tolerant bin.",angry,5.94,11.94,56,_,3.741332,5.995,9.681332,11.935
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,1,H#,0,0.415743,11.94,12.355743
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,2,n,0.415743,0.44,12.355743,12.38
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,3,a:,0.44,0.507244,12.38,12.447244
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,4,d,0.507244,0.535,12.447244,12.475
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,5,a,0.535,0.61,12.475,12.55
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,6,n,0.61,0.650942,12.55,12.590942
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,7,v,0.650942,0.675506,12.590942,12.615506
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,8,e:,0.675506,0.730775,12.615506,12.670775
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,9,6,0.730775,0.760559,12.670775,12.700559
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,10,d,0.760559,0.792283,12.700559,12.732283
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,11,@,0.792283,0.811221,12.732283,12.751221
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,12,?,0.811221,0.816441,12.751221,12.756441
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,13,I,0.816441,0.84776,12.756441,12.78776
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,14,C,0.84776,0.900573,12.78776,12.840573
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,15,m,0.900573,0.938954,12.840573,12.878954
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,16,I,0.938954,0.99,12.878954,12.93
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,17,C,0.99,1.039665,12.93,12.979665
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,18,m,1.039665,1.09,12.979665,13.03
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,19,a:,1.09,1.154501,13.03,13.094501
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,20,l,1.154501,1.195,13.094501,13.135
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,21,f,1.195,1.298814,13.135,13.238814
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,22,o:,1.298814,1.367593,13.238814,13.307593
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,23,6,1.367593,1.42,13.307593,13.36
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,24,S,1.42,1.508221,13.36,13.448221
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,25,t,1.508221,1.566802,13.448221,13.506802
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,26,E,1.566802,1.681396,13.506802,13.621396
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,27,l,1.681396,1.761229,13.621396,13.701229
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,28,@,1.761229,1.77,13.701229,13.71
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,29,n,1.77,1.874222,13.71,13.814222
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0004,"Na dann werde ich mich mal vorstellen.",angry,11.94,15.72,30,_,1.874222,3.775,13.814222,15.715
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,1,H#,0,0.71,15.72,16.43
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,2,?,0.71,0.735,16.43,16.455
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,3,I,0.735,0.78877,16.455,16.50877
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,4,C,0.78877,0.865559,16.50877,16.585559
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,5,h,0.865559,0.887674,16.585559,16.607674
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,6,a:,0.887674,0.95,16.607674,16.67
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,7,b,0.95,0.99654,16.67,16.71654
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,8,@,0.99654,1.046779,16.71654,16.766779
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,9,R,1.046779,1.134011,16.766779,16.854011
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,10,o:,1.134011,1.216328,16.854011,16.936328
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,11,t,1.216328,1.285139,16.936328,17.005139
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,12,@,1.285139,1.349018,17.005139,17.069018
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,13,h,1.349018,1.415,17.069018,17.135
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,14,a:,1.415,1.549897,17.135,17.269897
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,15,R,1.549897,1.607027,17.269897,17.327027
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,16,@,1.607027,1.658629,17.327027,17.378629
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,17,?,1.658629,1.672144,17.378629,17.392144
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,18,U,1.672144,1.745,17.392144,17.465
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,19,n,1.745,1.786323,17.465,17.506323
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,20,t,1.786323,1.855749,17.506323,17.575749
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,21,?,1.855749,1.86031,17.575749,17.58031
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,22,aI,1.86031,1.930153,17.58031,17.650153
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,23,n,1.930153,1.99,17.650153,17.71
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,24,f,1.99,2.12,17.71,17.84
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,25,OY,2.12,2.26,17.84,17.98
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,26,R,2.26,2.315,17.98,18.035
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,27,I,2.315,2.36,18.035,18.08
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,28,g,2.36,2.406849,18.08,18.126849
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,29,@,2.406849,2.45,18.126849,18.17
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,30,s,2.45,2.529102,18.17,18.249102
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,31,t,2.529102,2.604991,18.249102,18.324991
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,32,E,2.604991,2.67,18.324991,18.39
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,33,m,2.67,2.715,18.39,18.435
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,34,p,2.715,2.776022,18.435,18.496022
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,35,6,2.776022,2.779823,18.496022,18.499823
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,36,R,2.779823,2.8,18.499823,18.52
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,37,a,2.8,2.863285,18.52,18.583285
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,38,m,2.863285,2.92533,18.583285,18.64533
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,39,E,2.92533,3.034062,18.64533,18.754062
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,40,n,3.034062,3.08075,18.754062,18.80075
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,41,t,3.08075,3.21774,18.80075,18.93774
pavoque,marytts/pavoque-data:pavoque-angry.yaml,spike0005,"Ich habe rote Haare und ein feuriges Temperament.",angry,15.72,20.16,42,_,3.21774,4.435,18.93774,20.155
