source_id,source_file,source_blob_sha,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,original_end_s
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,23,n,1.769826
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,24,t,1.808937
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,25,?,1.84518
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,26,a,1.945
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,27,n,2.015
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,28,d,2.032659
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,29,6,2.09
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,30,R,2.122932
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,31,@,2.156093
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,32,m,2.208291
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,33,S,2.302862
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,34,p,2.396637
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,35,R,2.418926
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,36,E,2.51
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,37,C,2.605
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,38,@,2.665
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,39,n,2.807035
pavoque,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423,spike0019,Würdest du gerne mit jemand anderem sprechen?,angry,66.96,71.16,40,_,4.195
