source_id,source_record_id,original_symbol_sequence,source_file,annotation_status
jsut_label,BASIC5000_1480,"^-s-o-[-o-o-N-g-a-#-h-i-[-d-o-]-k-a-cl-t-a-n-o-d-e-_-b-e-]-i-r-i-i-#-ky-o-[-o-j-u-w-a-_-j-i-[-b-u-N-n-o-k-o-]-e-o-#-t-o-]-o-s-u-k-o-t-o-g-a-#-d-e-[-k-i-]-n-a-k-a-cl-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1481,"^-y-o-[-b-i-d-a-]-sh-i-t-e-#-h-o-[-sh-i-]-i-#-h-i-[-t-o-n-o-#-n-a-[-m-a-e-w-a-#-n-a-]-N-d-e-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1482,"^-i-[-d-e-]-N-sh-i-#-k-u-[-m-i-k-a-e-sh-o-]-k-u-h-i-N-o-#-t-a-[-b-e-]-r-u-n-o-w-a-_-k-i-[-k-e-N-d-a-]-t-o-#-o-[-m-o-i-m-a-]-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1483,"^-h-i-]-r-o-k-o-w-a-_-m-a-[-cl-t-a-k-u-#-h-i-[-t-o-r-i-k-i-]-r-i-d-e-#-s-o-[-k-o-n-i-#-s-u-[-w-a-cl-t-e-i-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1484,"^-o-[-k-u-]-n-a-i-n-i-#-i-[-r-u-]-n-o-g-a-#-m-o-[-cl-t-a-i-n-a-i-g-u-]-r-a-i-_-y-o-]-i-#-t-e-]-N-k-i-d-a-cl-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1485,"^-h-o-[-cl-k-a-]-i-d-o-o-n-i-#-i-[-cl-t-a-]-r-a-_-y-a-[-cl-p-a-]-r-i-_-u-]-m-i-n-o-s-a-ch-i-o-#-t-a-[-b-e-]-n-a-i-t-o-_-i-[-cl-t-a-#-i-]-m-i-g-a-#-n-a-]-i-d-e-sh-o-o-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1486,"^-s-e-[-N-g-a-k-u-#-h-i-[-s-a-i-n-o-#-w-a-[-t-a-sh-i-d-e-]-w-a-#-a-[-r-i-m-a-]-s-u-g-a-_-n-a-[-n-i-t-o-z-o-_-m-i-[-n-a-]-s-a-m-a-n-o-#-o-[-ch-i-k-a-r-a-o-#-t-a-[-m-a-w-a-r-i-t-a-]-k-u-_-k-o-[-k-o-n-i-#-o-[-n-e-g-a-i-#-m-o-[-o-sh-i-a-g-e-r-u-sh-i-]-d-a-i-d-e-s-u-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1487,"^-m-i-]-r-u-h-i-w-a-_-r-e-[-e-k-u-j-e-n-i-]-i-b-a-o-#-k-a-[-t-a-d-o-cl-t-e-_-i-[-k-e-]-o-#-ts-u-[-k-u-]-cl-t-a-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1488,"^-sh-o-[-o-g-i-n-o-#-k-i-]-f-u-n-i-w-a-#-ch-o-[-s-a-k-u-]-k-e-N-g-a-#-a-]-r-u-n-o-k-a-_-t-o-[-i-cl-t-a-k-o-t-o-]-w-a-_-i-[-r-o-i-r-o-n-a-t-o-k-o-r-o-]-d-e-#-g-i-]-r-o-N-s-a-r-e-t-e-i-m-a-s-u-$",e2e_symbol/phoneme.yaml,manual_curated
jsut_label,BASIC5000_1489,"^-hy-o-]-o-g-a-#-f-u-]-r-u-n-o-o-#-m-i-]-t-a-k-o-t-o-g-a-#-a-[-r-i-m-a-]-s-u-k-a-?-$",e2e_symbol/phoneme.yaml,manual_curated
