source_id,source_recording_id,prompt,text,style,utterance_start_s,utterance_end_s,segment_index,original_label,segment_start_rel_s,segment_end_rel_s,segment_duration_s,segment_start_abs_s,segment_end_abs_s,annotation_method,source_blob_sha
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,14,z,1.476699,1.595,0.118301,709.536699,709.655,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,15,j,1.595,1.660365,0.065365,709.655,709.720365,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,16,'o:',1.660365,1.74882,0.088455,709.720365,709.80882,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,17,n,1.74882,1.781376,0.032556,709.80882,709.841376,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,18,?,1.781376,1.86,0.078624,709.841376,709.92,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,19,aU,1.86,2.005,0.145,709.92,710.065,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,20,f,2.005,2.100181,0.095181,710.065,710.160181,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,21,g,2.100181,2.157416,0.057235,710.160181,710.217416,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,22,'e:',2.157416,2.296746,0.13933,710.217416,710.356746,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,23,b,2.296746,2.354487,0.057741,710.356746,710.414487,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,24,@,2.354487,2.359402,0.004915,710.414487,710.419402,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,25,n,2.359402,2.469356,0.109954,710.419402,710.529356,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque_angry,pavoque_angry::m0138,m0138,"Klara muss die Pension aufgeben.",angry,708.06,711.48,26,_,2.469356,3.415,0.945644,710.529356,711.475,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
